score,l_pol,r_pol,valence,song,,,,,,,,l_pol_old,r_pol_old
5,363.3402778,299.3817927,0.37,heartbreak hotel,,,,,,,,-10.10311448,9.278244631
5,308,315.2698195,0.172,broken joystick,,,,,,,,6.666666667,4.463691071
5,400.9553881,283.4221296,0.868,hungover and horny,,,,,,,,-21.50163277,14.11450617
5,399.5892857,310.3536967,0.245,done all wrong,,,,,,,,-21.08766234,5.95342523
5,297,284.3453947,0.234,escape artist blues,,,,,,,,10,13.83472887
5,321.3571429,328.1501107,0.127,heaven how long,,,,,,,,2.619047619,0.560572502
5,286.1018519,311.2572917,0.117,funeral beds,,,,,,,,13.30246914,5.679608586
5,372.625,264.1488095,0.128,the letter,,,,,,,,-12.91666667,19.9549062
5,333.3846154,327.4352381,0.516,100 punks,,,,,,,,-1.025641026,0.777200577
5,185.625,279.8696092,0.708,can you feel,,,,,,,,43.75,15.19102753
5,237.2857143,272.2303922,0.59,growing up with gnr,,,,,,,,28.0952381,17.50594177
5,330,274.3063616,0.81,danse en france,,,,,,,,0,16.87686012
5,314.3684211,330.1455026,0.48,back again,,,,,,,,4.736842105,-0.044091711
5,283.5,289.0477343,0.217,i still wonder,,,,,,,,14.09090909,12.4097775
5,326.8402778,275.5839827,0.671,no fiction,,,,,,,,0.957491582,16.48970222
5,416.4285714,289.8068783,0.236,acid bubble,,,,,,,,-26.19047619,12.17973385
5,286.4583333,269.1384409,0.777,hey hey hey,,,,,,,,13.19444444,18.44289671
5,330,289.085119,0.054,that knot unties,,,,,,,,0,12.39844877
5,385.9821429,301.5847303,0.499,human remains,,,,,,,,-16.96428571,8.610687782
5,309.3240741,295.8691485,0.339,michelle,,,,,,,,6.265432099,10.34268227
5,264,316.8743207,0.49,chain,,,,,,,,20,3.97747859
5,376.5477941,304.9924603,0.321,fire,,,,,,,,-14.10539216,7.578042328
5,259.564951,289.1818681,0.805,love long distance,,,,,,,,21.34395425,12.36913087
5,363,286.0823129,0.172,open,,,,,,,,-10,13.30839002
5,330,276.8467262,0.284,te amo,,,,,,,,0,16.10705267
5,273.3958333,299.7475275,0.461,remain,,,,,,,,17.15277778,9.167415917
5,316.3875,316.632672,0.245,alala,,,,,,,,4.125,4.050705467
5,210.815,288.8220238,0.0378,a beautiful mine,,,,,,,,36.11666667,12.4781746
5,339.35,296.884256,0.357,katherine kiss me,,,,,,,,-2.833333333,10.03507395
5,394.4212963,279.3861739,0.765,shotgun,,,,,,,,-19.52160494,15.33752305
5,274.9466518,291.6651389,0.539,body shot,,,,,,,,16.68283279,11.61662458
5,293.9583333,301.5158333,0.527,anything new,,,,,,,,10.92171717,8.631565657
5,330,259.1808511,0.212,12,,,,,,,,0,21.46034816
5,283.8,276.0403439,0.594,witch,,,,,,,,14,16.35141093
5,272.7083333,264.39375,0.73,sing sang sung,,,,,,,,17.36111111,19.88068182
5,283.9652015,256.4501728,0.726,walking on the dream,,,,,,,,13.94993895,22.28782642
5,330,287.1344955,0.04,ingrid is a hybrid,,,,,,,,0,12.98954683
5,330,273.0015664,0.843,something else,,,,,,,,0,17.2722526
5,315.6090226,299.8741319,0.667,trapped,,,,,,,,4.360902256,9.129050926
5,165,286.1178571,0.559,caterpillar house,,,,,,,,50,13.29761905
5,206.4183673,272.8493108,0.416,in the city,,,,,,,,37.44897959,17.31839067
5,270.7222222,300.5710784,0.857,season song,,,,,,,,17.96296296,8.917855021
5,307.6494253,291.1411017,0.744,easy way out,,,,,,,,6.772901428,11.77542373
5,396,294.7030341,0.672,twirl,,,,,,,,-20,10.69605027
5,234.625,294.0806277,0.419,up for the crack,,,,,,,,28.90151515,10.88465827
5,278.8703704,289.4445513,0.0516,veda 1 pierce dr,,,,,,,,15.49382716,12.28952991
5,436.326,279.125,0.736,mad man song,,,,,,,,-32.22,15.41666667
5,299.8984127,302.072479,0.393,action action,,,,,,,,9.121693122,8.462885154
5,150.5625,292.306994,0.264,love misery,,,,,,,,54.375,11.42212302
5,315.8571429,288.4248016,0.966,in the morning,,,,,,,,4.285714286,12.59854497
